SKU,name,description,price,meta_description,meta_keywords,tax_category_id,shipping_category_id,count_on_hand,product_properties,taxons,blendable_taxon_ids,images
"TBSNN-0011","Ceylon Kenilworth Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Ceylon Kenilworth Loose Leaf Tea infuses a soft, rose-like scent.With its black tea blend and fruity aroma, Uniq Teas Ceylon Kenilworth Tea is known as a comfort tea. Uniq Teas Ceylon Kenilworth Tea infuses a deep-red color for a delicate look and taste. Uniq Teas is a freat place to shop for tea and buy tea.   UniqTeas Ceylon Kenilworth Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Ceylon tea from Kenilworth Estate.</p>","12","Select Ceylon Kenilworth Loose Leaf Tea and other Ceylon black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Ceylon Kenilworth Loose Leaf Tea,Ceylon","698318840","727197546","20000","","Categories>Sri Lanka","",""
"TBVNN-0012","Coco Moca Chai Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Chocolate Chai Black Tea is a rich decadent chocolate tea and combined it with the exotic flavors and spices of Masala Chai to create the terrific treat. Chocolate flavored Ceylon black tea blended with cardamom, ginger, cloves, cinnamon. Soothing spicy cocoa notes, zesty, warming quality and soft liquid chocolate texture.    UniqTeas Coco Moca Chai Loose Leaf Tea is a wonderful black tea, chai tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea , ginger root, green cardamom, chocolate chips and chocolate flavor </p>","12.75","Select Coco Moca Chai Loose Leaf Tea and other Chocolate Coconut Chai black tea, chai teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea, Chai Tea,Coco Moca Chai Loose Leaf Tea,Chocolate Coconut Chai","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea|Categories>Chai Tea","",""
"TBVNN-0013","Chocolate Cream Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Chocolate Cream Loose Leaf Tea delights with indulgent flavors of black tea, cocoa and chocolate bits. For a rich and decadent taste, Uniq Teas Chocolate Cream Tea stays sweet as real chocolate chips melt into a full-bodied Ceylon black tea. Transporting you to your favorite chocolate dessert, Uniq Teas is a great place to shop for teas and buy tea.   UniqTeas Chocolate Cream Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea and chocolate pieces with chocolate flavor </p>","11.25","Select Chocolate Cream Loose Leaf Tea and other Chocolate black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Chocolate Cream Loose Leaf Tea,Chocolate","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0014","Coconut Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas coconut black loose tea can is sweet and savory like coconut. Few teas can play with other flavors quite as seamlessly as classic Ceylon black tea. In one cup, you'll get the dense, creamy texture of fresh coconut with the balanced brightness and tang of Ceylon. Perfectly sweet and rich, warm, toasty nutty aroma, soft finish.    UniqTeas Coconut Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea with shredded coconut and coconut flavor </p>","11.25","Select Coconut Loose Leaf Tea and other Coconut black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Coconut Loose Leaf Tea,Coconut","698318840","727197546","20000","Sweetness:3|Fruity:0|Nutty:3|Vegetal:0|Woody:0|Aroma:4|Spicy:0|Floral: 0|Strength:4","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0015","Coconut Chai Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Coconut Chai Loose Leaf  Black tea is a sweet delightful blend of, ginger root, cinnamon, shredded coconut, ginger, coconut and vanilla flavor. The coconut plays off the chai to create a sweet and sav ory tea that is creamy and sweet. Good with sugar and milk.    UniqTeas Coconut Chai Loose Leaf Tea is a wonderful black tea, chai tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea , ginger root, cinnamon, shredded coconut, ginger, coconut and vanilla flavor. </p>","12.75","Select Coconut Chai Loose Leaf Tea and other Coconut, Chai black tea, chai teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea, Chai Tea,Coconut Chai Loose Leaf Tea,Coconut, Chai","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea|Categories>Chai Tea","",""
"TBVNN-0016","Decaf. English Breakfast Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Black Loose decafinated English Breakfast tea is ust as tasty as our fine English Breakfast blend, just without the caffeine.  Try it with or without milk.  You'll love it either way. Uniq teas is a great place to shop for teas and buy teas.   UniqTeas Decaf. English Breakfast Loose Leaf Tea is a wonderful black tea, decaffeinated tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Decaf Assam, decaf Nilgiri</p>","18","Select Decaf. English Breakfast Loose Leaf Tea and other Decaffeinated Tea black tea, decaffeinated teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea, Decaffeinated Tea,Decaf. English Breakfast Loose Leaf Tea,Decaffeinated Tea","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea|Categories>Decaf Tea","",""
"TBVNN-0017","Earl Grey Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Earl Grey loose leaf  tea is a fine blend of black tea with the zesty and fragrant aroma of top quality Bergamot oil.  A classic black tea loved across the world. Uniq Teas Earl Grey Loose Leaf Tea delivers a timeless and classic tea with its rich, full-bodied black tea taste and exotic citrus flavor. For a refined exquisite  taste and memorable aroma, Uniq Teas Earl Grey Tea infuses the citrus punch of the bergamot fruit. A refreshing and bright cup of tea for anytime of your day,    UniqTeas Earl Grey Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Whole leaf Black tea, bergamot flavor. </p>","11.25","Select Earl Grey Loose Leaf Tea and other Bergamot black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Earl Grey Loose Leaf Tea,Bergamot","698318840","727197546","20000","Sweetness:2|Fruity:2|Nutty:0|Vegetal:0|Woody:0|Aroma:5|Spicy:0|Floral: 0|Strength:5","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0018","Earl Grey Citrus Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Earl Grey Citrus loose leaf  tea is a fine blend of black tea with the zesty and fragrant aroma of top quality Bergamot oil and citrus.  A classic black tea loved across the world. Uniq Teas Earl Grey Loose Leaf Tea delivers a timeless and classic tea with its rich, full-bodied black tea taste and exotic exta citrus flavor. For a refined exquisite  taste and memorable aroma, Uniq Teas Earl Grey Citrus Tea infuses the citrus punch of the bergamot fruit. A refreshing and bright cup of tea for anytime of your day,    UniqTeas Earl Grey Citrus Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Whole leaf black tea with citrus and premium bergamot. </p>","13.5","Select Earl Grey Citrus Loose Leaf Tea and other Bergamot black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Earl Grey Citrus Loose Leaf Tea,Bergamot","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0019","Earl Grey de la Crème Loose Leaf Tea","<h3>Description</h3> <p>One of our top teas this whole leaf black tea has a premium bergamot oil but adds vanilla to give it smooth creaminess. Uniq Teas Earl Grey De La Creme loose leaf  tea is a fine blend of black tea with the zesty and fragrant aroma of top quality Bergamot oil and vanilla.  A classic black tea loved across the world. Uniq Teas Earl Grey De La creme Loose Leaf Tea delivers a timeless and classic tea with its rich, full-bodied black tea taste and exotic citrus flavor. For a refined exquisite  taste and memorable aroma, Uniq Teas Earl Grey De La Creme Tea infuses the citrus punch of the bergamot fruit and softned with vanilla.  A refreshing and bright cup of tea for anytime of your day,    UniqTeas Earl Grey de la Crème Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Whole leaf black tea with vanilla and premium bergamot. </p>","13.5","Select Earl Grey de la Crème Loose Leaf Tea and other Bergamot black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Earl Grey de la Crème Loose Leaf Tea,Bergamot","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0020","English Breakfast Loose Leaf Tea","<h3>Description</h3> <p>Uniq teas English Breakfast Tea is a blend of strong Indian teas with the malty flavor of Assam. The original, classic cup of English Breakfast was made with black Indian.  Across many generations, plenty of different interpretations have been made. Our English Breakfast is close to what the customer has come to expect from an English Brekfast.    UniqTeas English Breakfast Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>A blend of Keemun and Assam black tea.</p>","11.25","Select English Breakfast Loose Leaf Tea and other Breakfast black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,English Breakfast Loose Leaf Tea,Breakfast","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0021","Five O'Clock Tea Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Five O'Clock tea has less caffine and is  medium-bodied tea.This Black tea is an aromatic blend of Darjeeling, highland Ceylon, and oolong, This infusion has a sparkling golden-amber cup color and a fruity-citrus flavor (and yes, we do offer it at every other hour as well).     UniqTeas Five O'Clock Tea Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Blend of Chinese and Indian teas.</p>","17.25","Select Five O'Clock Tea Loose Leaf Tea and other Evening Tea black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Five O'Clock Tea Loose Leaf Tea,Evening Tea","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0022","Georgia Ginger Peach Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Georgia Ginger Peach Black Loose Leaf tea has become an American classic. Georgia  Ginger Peach Black has the soft warmth of ginger with the sweet depth of summer ripe peaches and apricots, paired beautifully with tangy, naturally citrusy black tea. Enjoyable anytime of year as a hot tea, we find it to be particularly refreshing iced.     UniqTeas Georgia Ginger Peach Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea, ginger root, and peach pieces with ginger flavor </p>","12","Select Georgia Ginger Peach Loose Leaf Tea and other Ginger Peach Tea black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Georgia Ginger Peach Loose Leaf Tea,Ginger Peach Tea","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBVNN-0023","Grand Earl Grey Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Grand Earl Grey loose leaf  tea is a fine blend of black tea with the zesty and fragrant aroma of top quality Bergamot oil.  A classic black tea loved across the world. Uniq TeasGrand Earl Grey Loose Leaf  Tea delivers a timeless and classic tea with its rich, full-bodied black tea taste and exotic citrus flavor. For a refined exquisite  taste and memorable aroma, Uniq Teas Grand Earl Grey Tea infuses the citrus punch of the bergamot fruit. A refreshing and bright cup of tea for anytime of your day,    UniqTeas Grand Earl Grey Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Grand Keemun Tea with premium beramot and a sprinkle of white Yin Zhen tea.</p>","19.5","Select Grand Earl Grey Loose Leaf Tea and other Bergamot black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Grand Earl Grey Loose Leaf Tea,Bergamot","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBCNN-0024","Grand Keemun Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Grand Keemun Black Loose Leaf  tea from the province of China. Perhaps the most famous of Chinese varieties, prized for its rich, toasty flavor, mineral flinty notes and smoky, almost incense aroma. Our Grand Keemun steeps a beautiful, fiery amber red, with a smoky aroma and earthy, smooth flavor.   UniqTeas Grand Keemun Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Chinese keemun tea.</p>","18.75","Select Grand Keemun Loose Leaf Tea and other Keemun black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Grand Keemun Loose Leaf Tea,Keemun","698318840","727197546","20000","","Categories>China>Black Tea","",""
"TBVNN-0025","Irish Breakfast Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Irish Breakfast Black Loose Leaf  Tea is a combination  of hearty black teas from China and India to get your morning off to a bright start. As its name implies, Irish Breakfast tea is an ideal accompaniment to a morning meal. It is a strong tea that has a malty underscore of a pungent Assam. Spicy and jammy aroma on the leaf, malty and deep flavor with a brisk and bold feel. Rounded sweetness in the finish.    UniqTeas Irish Breakfast Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Blend of chinese and Indian teas.</p>","12","Select Irish Breakfast Loose Leaf Tea and other Breakfast black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Irish Breakfast Loose Leaf Tea,Breakfast","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBCNN-0026","Keemun Imperial Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Keemun Imperial Black Loose Leaf  tea from the province of China. Perhaps the most famous of Chinese varieties, prized for its rich, toasty flavor, mineral flinty notes and smoky, almost incense aroma. Our Keemun Imperial  steeps a beautiful, fiery amber red, with a smoky aroma and earthy, smooth flavor.   UniqTeas Keemun Imperial Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Chinese keemun tea.</p>","14.25","Select Keemun Imperial Loose Leaf Tea and other Keemun black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Keemun Imperial Loose Leaf Tea,Keemun","698318840","727197546","20000","","Categories>China>Black Tea","",""
"TBANN-0027","Kenya Black FOP Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Kenya Black Loose Leaf tea is a good strong cuppa tea. Kenya has been producing tea for the last century, and is Africa’s most significant tea exporter. from the milima estate in the Kenya highlands, this rare, golden-tipped tea makes a dark amber cup, with a strong, spicy, and fruity aroma. tastes beautiful with milk and a touch of sweetener. Uniq teas is a great place to shop form tea and buy tea.    UniqTeas Kenya Black FOP Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Black tea from Kenya.</p>","16.5","Select Kenya Black FOP Loose Leaf Tea and other Kenya black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Kenya Black FOP Loose Leaf Tea,Kenya","698318840","727197546","20000","","Categories>Africa","",""
"TBVNN-0028","Lavender Earl Grey Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Earl Grey Lavendor Loose Leaf Black  tea is a fine blend of black tea with the zesty and fragrant aroma of top quality Bergamot oil and lavendor.  A classic black tea loved across the world. Uniq Teas Earl Grey Lavendor Loose Leaf  Tea delivers a timeless and classic tea with its rich, full-bodied black tea taste and exotic citrus flavor and laveneder. For a refined exquisite  taste and memorable aroma, Uniq Teas Earl Grey Lavender Tea infuses the citrus punch of the bergamot fruit and lavender. A refreshing and bright cup of tea for anytime of your day,    UniqTeas Lavender Earl Grey Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Whole leaf black tea with lavender and premium bergamot. </p>","13.5","Select Lavender Earl Grey Loose Leaf Tea and other Lavender black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Lavender Earl Grey Loose Leaf Tea,Lavender","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBSNN-0029","Lover's Leap Ceylon Loose Leaf Tea","<h3>Description</h3> <p>  UniqTeas Lover's Leap Ceylon Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Ceylon tea from the Lover's Leap Estate</p>","18","Select Lover's Leap Ceylon Loose Leaf Tea and other Ceylon black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Lover's Leap Ceylon Loose Leaf Tea,Ceylon","698318840","727197546","20000","","Categories>Sri Lanka","",""
"TBCNN-0030","Lychee Keen Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Lychee Keen Loose Leaf Tea is a sweet black tea with the sweet and exotic flavorings of the lychee fruit. With the honey-like taste of the lychee fruit, Uniq Teas Lychee Keen Tea is fruity yet flowery fragrance by balancing the tang of black tea. Uniq teas is a a great place to shop for teas and buy teas.             UniqTeas Lychee Keen Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>Traditional China black tea is scented with lychee </p>","10.5","Select Lychee Keen Loose Leaf Tea and other Lychee black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Lychee Keen Loose Leaf Tea,Lychee","698318840","727197546","20000","","Categories>Flavored Tea> Flavored Black Tea","",""
"TBIOF-0031","Makaibari Estate 1st Flush Darjeeling Loose Leaf Tea","<h3>Description</h3> <p>Uniq Teas Makaibari Estate 1st Flush tea is picked in the spring in Darjeeling and is famous for its lively bite and abundance of fresh flavor. These rare teas look almost like green teas, but they are actually black tea. Our Spring Darjeeling is a spirited embodiment of these qualities. Fresh bouquet, bright floral and cool spicy notes. Lively briskness with sweet, green grape skin astringency. Fresh herb aromas in the finish.    UniqTeas Makaibari Estate 1st Flush Darjeeling Loose Leaf Tea is a wonderful black tea.  UniqTeas.com is a great place to shop for tea and buy tea and tea accessories.</p><h3>Ingredients</h3> <p>First Flush Darjeeling tea from Makaibari Estate.</p>","23.25","Select Makaibari Estate 1st Flush Darjeeling Loose Leaf Tea and other Darjeeling black teas at UniqTeas.com for all of your loose tea, tea sachet, tea bag and tea accessory needs.","Black Tea,Makaibari Estate 1st Flush Darjeeling Loose Leaf Tea,Darjeeling","698318840","727197546","20000","","Categories>India","",""
